filename,num,area,circularity,mean_intensity,variance,label
2793,1,613,0.754957904,115.5057096,3761.270166,1
2793,2,366,0.790352709,109.5464481,2958.644405,1
2793,3,1950,0.22098825,104.1302564,2845.321446,1
2793,4,1187,0.392034689,113.4987363,3677.003178,1
2793,5,955,0.355310866,119.417801,3915.160324,1
2793,6,711,0.629303018,122.4064698,4297.056628,1
2793,7,1145,0.374067448,114.4497817,3582.575546,1
2793,8,1793,0.2569856,106.8265477,3065.621151,1
2793,9,274,0.921929065,186.189781,7172.37429,0
2793,10,962,0.859896088,109.0717256,2870.776625,1
2793,11,1262,0.569926556,112.451664,3570.194089,1
2793,12,930,0.807187749,120.8021505,3915.679857,1
2793,13,1050,0.626851321,117.3114286,3721.238592,1
2793,14,1260,0.441676611,111.9880952,3425.122355,1
2793,15,605,0.758462321,104.3983471,3071.672935,1
2793,16,484,0.965834963,171.3181818,4864.734656,0
2793,17,1531,0.327181474,119.0542129,3164.396714,1
2793,18,1054,0.449897338,120.3785579,4201.828064,1
2793,19,1082,0.525044515,109.3114603,3355.109984,1
2793,20,695,0.629247695,122.7654676,4457.12342,1
2793,21,1563,0.418839138,109.9110685,3418.013605,1
2793,22,1175,0.671407419,115.1208511,3787.012487,1
2793,23,1515,0.53692057,113.8620462,3569.438558,1
2793,24,1256,0.665304602,108.2444268,3196.255909,1
2793,25,1483,0.842687801,114.2521915,3082.80357,1
2793,26,1937,0.482123966,111.6086732,3240.118551,1
2793,27,1421,0.513889128,113.0809289,3482.816752,1
2793,28,1625,0.473902648,113.3766154,3692.352018,1
2793,29,1482,0.43694317,115.8454791,3510.393828,1
2793,30,1156,0.744989998,112.2551903,3435.850436,1
2793,31,1970,0.515991789,109.8558376,3157.879166,1
2793,32,1401,0.654381713,110.1291934,3481.707164,1
2793,33,1732,0.5341161,114.2921478,3521.183582,1
2793,34,818,0.633998247,112.1882641,3697.692508,1
2793,35,1177,0.517096102,115.826678,4033.260115,1
2793,36,1535,0.288459571,109.5087948,2516.53906,1
2793,37,966,0.698374726,103.9730849,2543.363768,1
2793,38,1352,0.722026264,116.2019231,3389.546486,1
2793,39,1959,0.521444283,110.8284839,3197.630733,1
2793,40,1333,0.786025972,117.696174,3363.620981,1
2793,41,1366,0.481297542,119.9048316,4083.229986,1
2793,42,638,0.933600647,161.8369906,4947.692773,0
2793,43,1218,0.872237889,163.7208539,6334.370871,1
2793,44,843,0.86762635,139.5136418,4757.083849,1
2793,45,1926,0.460972884,112.8665628,3570.490069,1
2793,46,1484,0.406416913,115.3726415,3491.013572,1
2793,47,1351,0.523602481,116.8993338,3894.577762,1
2793,48,1912,0.455126253,116.3002092,3894.483796,1
2793,49,1318,0.649896138,115.9499241,3644.038465,1
2793,50,1845,0.637661646,117.3528455,3845.930121,1
2793,51,170,1.018467058,142.5058824,3490.70712,0
2793,52,240,1.001729059,160.2416667,4485.446452,0
2793,53,1469,0.698129895,115.9605174,3482.66684,1
2793,54,1316,0.660265071,111.0699088,3385.598409,1
2793,55,1446,0.632176552,113.0020747,3504.967662,1
2793,56,1994,0.380107381,118.115346,4015.78641,1
2793,57,1921,0.468935211,115.5741801,3731.854625,1
2793,58,939,0.898968926,113.3514377,3129.44022,1
2793,59,2118,0.336884834,121.5174693,3554.056758,1
2793,60,392,0.990344272,171.5,4679.863054,0
2793,61,645,0.809182874,119.7534884,3963.780096,1
2793,62,1230,0.571824737,113.3577236,3593.121611,1
2793,63,511,0.766537039,123.0939335,4122.743219,1
2793,64,1566,0.735158552,116.5466156,3397.479475,1
2793,65,115,0.810981753,147,4896.49628,0
2793,66,731,0.502091071,112.8467852,3481.012305,1
2793,67,1176,0.544720444,121.2967687,4294.976576,1
2793,68,411,0.709499308,125.4306569,4319.776843,1
2793,69,509,0.687916424,120.2298625,4031.236458,1
2793,70,1306,0.357333397,120.9104135,3606.113208,1
2793,71,942,0.564490403,133.6475584,5304.171054,1
2793,72,1416,0.5715127,117.0225989,3697.981254,1
2793,73,527,0.947608428,167.4648956,5049.788584,0
2793,74,495,0.967480368,174.9858586,5283.371292,0
2793,75,1100,0.490448016,119.7272727,4084.902676,1
2793,76,1143,0.550227738,119.015748,3859.603111,1
2793,77,985,0.615240406,121.0162437,3792.209986,1
2793,78,255,0.96254541,148.1490196,4587.505865,0
2793,79,1185,0.558152972,119.8801688,3990.15904,1
2793,80,1594,0.428950243,122.6311167,4165.625864,1
2793,81,1722,0.528705798,112.8652729,3438.347546,1
2793,82,1745,0.50742338,117.3994269,3857.934368,1
2793,83,1445,0.641869284,109.1086505,3220.641105,1
2793,84,1465,0.43559477,106.7249147,3348.174822,1
2793,85,1400,0.353248079,109.6571429,3648.16998,1
2793,86,1474,0.67617734,116.5834464,3793.775913,1
2793,87,1557,0.617072776,119.3622351,3945.448046,1
2793,88,1428,0.529109369,118.0658263,4024.242814,1
2793,89,1775,0.600097016,112.9752113,3500.036335,1
2793,90,1071,0.749724185,117.6732026,3748.861701,1
2793,91,1309,0.430654336,111.3078686,3684.422419,1
2793,92,794,0.645516177,128.6851385,5035.393865,1
2793,93,1306,0.399788729,116.1316998,4115.131069,1
2793,94,1242,0.447506658,114.2479871,3486.652538,1
2793,95,1221,0.541642351,112.986077,3644.081854,1
2793,96,1102,0.715151438,114.9827586,3422.128221,1
2793,97,1531,0.485155282,112.0424559,3241.045872,1
2793,98,989,0.578528312,111.7482305,3570.06218,1
2793,99,969,0.642368296,120.2177503,4409.62239,1
2793,100,430,0.96655986,164.5255814,4897.803127,0
2793,101,1061,0.817468122,109.7766258,3043.564299,1
2793,102,848,0.818769887,114.8490566,3345.731256,1
2793,103,1668,0.357419054,114.2709832,3709.080566,1
2793,104,436,0.737641625,125.5068807,3982.621585,1
2793,105,737,0.826746943,116.7164179,3678.995804,1
2793,106,448,0.976188797,170.0513393,4629.617593,0
2793,107,369,0.970779353,158.4173442,4322.439684,0
2793,108,405,0.967534622,171.1432099,5141.962134,0
2793,109,389,0.944506627,165.655527,5035.520521,0
2793,110,440,0.973720882,176.8590909,5264.470371,0
2793,111,926,0.494635107,117.7796976,3830.678039,1
2793,112,1257,0.61257357,118.2895784,3910.116975,1
2793,113,986,0.341540779,115.4685598,3988.622248,1
2793,114,1171,0.360037949,116.2792485,3623.608581,1
2793,115,683,0.45262005,117.0805271,4093.475241,1
2793,116,1045,0.541323859,117.9004785,4021.604518,1
2793,117,659,0.952253488,163.5705615,4968.074137,0
2793,118,1710,0.389986915,126.4883041,3896.455167,1
2793,119,287,0.947420469,168.4494774,5387.95786,0
2794,1,1901,0.466044484,182.473435,8613.768647,1
2794,2,1669,0.583187346,190.5865788,9054.847295,1
2794,3,1070,0.532174967,170.6214953,7422.088926,1
